[23:34:20] [info] RAZEL: Create window Razel Editor (1600 , 900)
[23:34:20] [info] RAZEL: OpenGL Info:
[23:34:20] [info] RAZEL:   Vendor: NVIDIA Corporation
[23:34:20] [info] RAZEL:   Renderer: NVIDIA GeForce RTX 3050 Laptop GPU/PCIe/SSE2
[23:34:20] [info] RAZEL:   Version: 4.6.0 NVIDIA 546.30
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:21] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:22] [warning] RAZEL: Pixel data = -1
[23:34:23] [warning] RAZEL: Pixel data = -1
[23:34:23] [warning] RAZEL: Pixel data = -1
[23:34:23] [warning] RAZEL: Pixel data = -1
[23:34:23] [warning] RAZEL: Pixel data = -1
[23:34:23] [warning] RAZEL: Pixel data = -1
[23:34:23] [warning] RAZEL: Pixel data = -1
[23:34:23] [warning] RAZEL: Pixel data = -1
[23:34:23] [warning] RAZEL: Pixel data = -1
[23:34:23] [warning] RAZEL: Pixel data = -1
[23:34:23] [warning] RAZEL: Pixel data = -1
[23:34:23] [warning] RAZEL: Pixel data = -1
