[10:56:28] [info] RAZEL: Create window Razel Editor (1600 , 900)
[10:56:29] [info] RAZEL: OpenGL Info:
[10:56:29] [info] RAZEL:   Vendor: NVIDIA Corporation
[10:56:29] [info] RAZEL:   Renderer: NVIDIA GeForce RTX 3050 Laptop GPU/PCIe/SSE2
[10:56:29] [info] RAZEL:   Version: 4.6.0 NVIDIA 546.30
[10:56:29] [error] RAZEL: Program/shader state performance warning: Vertex shader in program 3 is being recompiled based on GL state.
[10:56:29] [error] RAZEL: Program/shader state performance warning: Vertex shader in program 3 is being recompiled based on GL state, and was not found in the disk cache
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:29] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
[10:56:37] [warning] RAZEL: Pixel data = -1
